Offset 000352: arquivo1 = 59 | arquivo2 = 51
Offset 000354: arquivo1 = 2C | arquivo2 = 28
Offset 000355: arquivo1 = 10 | arquivo2 = 18
Offset 000358: arquivo1 = F2 | arquivo2 = F3
Offset 000359: arquivo1 = 34 | arquivo2 = 32
Offset 00035A: arquivo1 = 02 | arquivo2 = 0B
Offset 00035C: arquivo1 = C9 | arquivo2 = CD
Offset 00035D: arquivo1 = 9B | arquivo2 = 92
Offset 00035E: arquivo1 = BB | arquivo2 = BA
Offset 000361: arquivo1 = 6F | arquivo2 = 6A
Offset 000362: arquivo1 = B0 | arquivo2 = C1
Offset 000364: arquivo1 = 02 | arquivo2 = 06
Offset 000365: arquivo1 = 60 | arquivo2 = 11
Offset 000366: arquivo1 = 6A | arquivo2 = 6B
Offset 000369: arquivo1 = 8E | arquivo2 = 8B
Offset 00036A: arquivo1 = 2D | arquivo2 = 5F
Offset 00036C: arquivo1 = 72 | arquivo2 = 76
Offset 00036D: arquivo1 = B0 | arquivo2 = C4
Offset 00036E: arquivo1 = 88 | arquivo2 = 8C
Offset 000370: arquivo1 = 84 | arquivo2 = 82
Offset 000372: arquivo1 = 6D | arquivo2 = 1E
Offset 000374: arquivo1 = 5D | arquivo2 = 59
Offset 000375: arquivo1 = 2F | arquivo2 = 5C
Offset 000377: arquivo1 = 30 | arquivo2 = 34
Offset 000378: arquivo1 = E6 | arquivo2 = 94
Offset 000379: arquivo1 = 6F | arquivo2 = 6B
Offset 00037A: arquivo1 = 1A | arquivo2 = 6E
Offset 00037C: arquivo1 = 9D | arquivo2 = 99
